Time,mercadobitcoin
2012-09-27 00:00:00 UTC,25.6153133333333
2012-09-28 00:00:00 UTC,26.0875
2012-09-29 00:00:00 UTC,26.67
2012-09-30 00:00:00 UTC,25.5
2012-10-01 00:00:00 UTC,25.7695142857143
2012-10-02 00:00:00 UTC,26.1405346666667
2012-10-03 00:00:00 UTC,26.8903316666667
2012-10-04 00:00:00 UTC,26.464056625
2012-10-05 00:00:00 UTC,26.2303125
2012-10-07 00:00:00 UTC,25.9193595833333
2012-10-08 00:00:00 UTC,24.3529656296296
2012-10-09 00:00:00 UTC,25.643355
2012-10-10 00:00:00 UTC,26.0283483333333
2012-10-11 00:00:00 UTC,26.6233333333333
2012-10-12 00:00:00 UTC,25.91012
2012-10-13 00:00:00 UTC,26.33841
2012-10-14 00:00:00 UTC,26.6859123571429
2012-10-15 00:00:00 UTC,26.17376375
2012-10-16 00:00:00 UTC,26.0001041666667
2012-10-17 00:00:00 UTC,26.07304
2012-10-18 00:00:00 UTC,26.348
2012-10-19 00:00:00 UTC,26.082190170068
2012-10-20 00:00:00 UTC,25.7483825
2012-10-21 00:00:00 UTC,25.984795
2012-10-22 00:00:00 UTC,25.5932248333333
2012-10-23 00:00:00 UTC,25.5166683333333
2012-10-24 00:00:00 UTC,25.4479975
2012-10-25 00:00:00 UTC,24.3572050925926
2012-10-26 00:00:00 UTC,22.0980476190476
2012-10-27 00:00:00 UTC,22.8119326666667
2012-10-28 00:00:00 UTC,23.88
2012-10-29 00:00:00 UTC,23.4890327777778
2012-10-30 00:00:00 UTC,23.6355120833333
2012-10-31 00:00:00 UTC,23.7635116666666
2012-11-01 00:00:00 UTC,23.745
2012-11-02 00:00:00 UTC,23.312505
2012-11-03 00:00:00 UTC,23.070005
2012-11-04 00:00:00 UTC,22.8367366666667
2012-11-05 00:00:00 UTC,23.763362
2012-11-06 00:00:00 UTC,22.4415577777778
2012-11-07 00:00:00 UTC,23.2497142857143
2012-11-08 00:00:00 UTC,23.4050714285714
2012-11-09 00:00:00 UTC,24.5400866
2012-11-10 00:00:00 UTC,24.8358788636364
2012-11-11 00:00:00 UTC,24.3643606666667
2012-11-12 00:00:00 UTC,24.583
2012-11-13 00:00:00 UTC,23.9628460714286
2012-11-14 00:00:00 UTC,23.8274351851852
2012-11-15 00:00:00 UTC,23.00005
2012-11-16 00:00:00 UTC,24.469975
2012-11-17 00:00:00 UTC,24.2987691666667
2012-11-18 00:00:00 UTC,24.6454283333333
2012-11-19 00:00:00 UTC,25.1241388888889
2012-11-20 00:00:00 UTC,25.3882691666667
2012-11-21 00:00:00 UTC,25.3941428571429
2012-11-22 00:00:00 UTC,25.7427272727273
2012-11-23 00:00:00 UTC,25.912505
2012-11-24 00:00:00 UTC,25.905515
2012-11-25 00:00:00 UTC,26.744745
2012-11-26 00:00:00 UTC,28.201378
2012-11-27 00:00:00 UTC,27.7173064285714
2012-11-28 00:00:00 UTC,27.7884714285714
2012-11-29 00:00:00 UTC,26.92121125
2012-11-30 00:00:00 UTC,27.5622425
2012-12-01 00:00:00 UTC,27.383
2012-12-02 00:00:00 UTC,27.65929
2012-12-03 00:00:00 UTC,28.073446
2012-12-04 00:00:00 UTC,27.99
2012-12-05 00:00:00 UTC,28.79
2012-12-06 00:00:00 UTC,28.312505
2012-12-07 00:00:00 UTC,28.991003125
2012-12-08 00:00:00 UTC,29.11
2012-12-09 00:00:00 UTC,28.99
2012-12-10 00:00:00 UTC,28.0814085714286
2012-12-11 00:00:00 UTC,28.2666666666667
2012-12-12 00:00:00 UTC,28.84248
2012-12-13 00:00:00 UTC,28.8421875
2012-12-14 00:00:00 UTC,29.146
2012-12-15 00:00:00 UTC,28.5
2012-12-16 00:00:00 UTC,29.5
2012-12-17 00:00:00 UTC,28.6685744444444
2012-12-18 00:00:00 UTC,29.6575
2012-12-19 00:00:00 UTC,29.656875
2012-12-20 00:00:00 UTC,29.273
2012-12-21 00:00:00 UTC,29.5
2012-12-22 00:00:00 UTC,29.748
2012-12-24 00:00:00 UTC,30.0333366666667
2012-12-25 00:00:00 UTC,29.8516683333333
2012-12-26 00:00:00 UTC,29.48
2012-12-27 00:00:00 UTC,31.4049090909091
2012-12-28 00:00:00 UTC,30.5208333333333
2012-12-29 00:00:00 UTC,33.042
2012-12-30 00:00:00 UTC,29.7933733333333
2012-12-31 00:00:00 UTC,30.10156
2013-01-02 00:00:00 UTC,30.1
2013-01-03 00:00:00 UTC,31.275
2013-01-04 00:00:00 UTC,31.55889
2013-01-05 00:00:00 UTC,31.05
2013-01-06 00:00:00 UTC,30.0
2013-01-07 00:00:00 UTC,31.45
2013-01-08 00:00:00 UTC,31.5360016666667
2013-01-09 00:00:00 UTC,31.236
2013-01-10 00:00:00 UTC,32.0280555555555
2013-01-11 00:00:00 UTC,32.4205245
2013-01-12 00:00:00 UTC,32.3923866666667
2013-01-14 00:00:00 UTC,29.041305
2013-01-15 00:00:00 UTC,32.79208
2013-01-16 00:00:00 UTC,33.4388761904762
2013-01-17 00:00:00 UTC,35.0544444444444
2013-01-18 00:00:00 UTC,36.69353125
2013-01-19 00:00:00 UTC,36.99
2013-01-20 00:00:00 UTC,34.8863725
