Time,anxbtc,bitmarket,btcmarkets,mtgox
2012-08-29 00:00:00 UTC,,,,10.762031
2012-08-30 00:00:00 UTC,,,,10.5663863125
2012-08-31 00:00:00 UTC,,,,10.2691539542549
2012-09-01 00:00:00 UTC,,,,9.79203236150744
2012-09-02 00:00:00 UTC,,,,9.90973962560385
2012-09-03 00:00:00 UTC,,,,10.1828902222222
2012-09-04 00:00:00 UTC,,,,10.1742015121136
2012-09-05 00:00:00 UTC,,,,10.4725814036487
2012-09-06 00:00:00 UTC,,,,10.847215159467
2012-09-07 00:00:00 UTC,,,,10.9447226719577
2012-09-08 00:00:00 UTC,,,,10.808110695732
2012-09-09 00:00:00 UTC,,,,10.83071335578
2012-09-10 00:00:00 UTC,,,,10.878267
2012-09-11 00:00:00 UTC,,,,10.9450908952991
2012-09-12 00:00:00 UTC,,,,10.962498471091
2012-09-13 00:00:00 UTC,,,,10.9889310026738
2012-09-14 00:00:00 UTC,,,,11.184059499758
2012-09-15 00:00:00 UTC,,,,11.2945259126984
2012-09-16 00:00:00 UTC,,,,11.3027454861111
2012-09-17 00:00:00 UTC,,,,11.3338934444444
2012-09-18 00:00:00 UTC,,,,11.5687984938647
2012-09-19 00:00:00 UTC,,,,11.9762621212121
2012-09-20 00:00:00 UTC,,,,12.1100462773829
2012-09-21 00:00:00 UTC,,,,12.040643199127
2012-09-22 00:00:00 UTC,,,,11.8541262212454
2012-09-23 00:00:00 UTC,,,,11.6434152006173
2012-09-24 00:00:00 UTC,,,,11.7177768302952
2012-09-25 00:00:00 UTC,,,,11.806553475123
2012-09-26 00:00:00 UTC,,,,11.8353809383629
2012-09-27 00:00:00 UTC,,,,11.9319818181818
2012-09-28 00:00:00 UTC,,,,11.9903157581452
2012-09-29 00:00:00 UTC,,,,12.066445
2012-09-30 00:00:00 UTC,,,,11.9119456944444
2012-10-01 00:00:00 UTC,,,,11.9179935897436
2012-10-02 00:00:00 UTC,,,,12.1545516944444
2012-10-03 00:00:00 UTC,,,,12.4313236309524
2012-10-04 00:00:00 UTC,,,,12.7797979803821
2012-10-05 00:00:00 UTC,,,,12.6643755
2012-10-06 00:00:00 UTC,,,,12.610516022409
2012-10-07 00:00:00 UTC,,,,11.9686173698296
2012-10-08 00:00:00 UTC,,,,11.15569866919
2012-10-09 00:00:00 UTC,,,,11.9084810592911
2012-10-10 00:00:00 UTC,,,,11.9073800393391
2012-10-11 00:00:00 UTC,,,,11.9165224425837
2012-10-12 00:00:00 UTC,,,,11.7781942490843
2012-10-13 00:00:00 UTC,,,,11.79950125
2012-10-14 00:00:00 UTC,,,,11.7411912271062
2012-10-15 00:00:00 UTC,,,,11.5214780034722
2012-10-16 00:00:00 UTC,,,,11.7821297436008
2012-10-17 00:00:00 UTC,,,,11.7505467857143
2012-10-18 00:00:00 UTC,,,,11.7013439420688
2012-10-19 00:00:00 UTC,,,,11.6177541208791
2012-10-20 00:00:00 UTC,,,,11.5325383522727
2012-10-21 00:00:00 UTC,,,,11.4839337267802
2012-10-22 00:00:00 UTC,,,,11.5314704473992
2012-10-23 00:00:00 UTC,,,,11.5401537134503
2012-10-24 00:00:00 UTC,,,,11.4759746949405
2012-10-25 00:00:00 UTC,,,,11.0458070115656
2012-10-26 00:00:00 UTC,,,,10.2515651168234
2012-10-27 00:00:00 UTC,,,,10.0627976914446
2012-10-28 00:00:00 UTC,,,,10.2555052424242
2012-10-29 00:00:00 UTC,,,,10.4452024031732
2012-10-30 00:00:00 UTC,,,,10.4722220714286
2012-10-31 00:00:00 UTC,,,,10.6067313605442
2012-11-01 00:00:00 UTC,,,,10.6701842553918
